event_id,model,true_label,pred_label,pred_conf_temp,actor_norm,annotation_provenance,annotation_ambiguous_actor,annotation_verb_intensity,annotation_casualty_counts,annotation_passive_voice,annotation_notes
CAO15726,mistral:7b,S,V,0.65,State forces (Cameroon),,,,,,
CAO13574,mistral:7b,S,V,0.75,State forces (Cameroon),,,,,,
CAO12160,mistral:7b,B,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO6152,mistral:7b,B,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO11972,mistral:7b,B,V,0.75,State forces (Cameroon),,,,,,
CAO2846,mistral:7b,B,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO8982,mistral:7b,B,V,0.75,State forces (Cameroon),,,,,,
CAO6951,mistral:7b,S,V,0.75,State forces (Cameroon),,,,,,
CAO13845,mistral:7b,B,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO10858,mistral:7b,B,V,0.75,State forces (Cameroon),,,,,,
CAO15246,mistral:7b,S,V,0.75,State forces (Cameroon),,,,,,
CAO15043,mistral:7b,S,V,0.5,State forces (Cameroon),,,,,,
CAO3243,mistral:7b,S,V,0.75,State forces (Cameroon),,,,,,
CAO15906,mistral:7b,S,V,0.65,State forces (Cameroon),,,,,,
CAO12166,mistral:7b,S,V,0.55,State forces (Cameroon),,,,,,
CAO7219,mistral:7b,S,V,0.75,State forces (Cameroon),,,,,,
CAO9836,mistral:7b,S,V,0.75,State forces (Cameroon),,,,,,
CAO10495,mistral:7b,S,V,0.75,State forces (Cameroon),,,,,,
CAO11941,olmo2:7b,B,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO11115,olmo2:7b,S,V,0.85,State forces (Cameroon),,,,,,
CAO11983,olmo2:7b,S,V,0.85,State forces (Cameroon),,,,,,
CAO6151,olmo2:7b,B,V,0.85,State forces (Cameroon),,,,,,
CAO12077,olmo2:7b,B,V,0.85,State forces (Cameroon),,,,,,
CAO6152,olmo2:7b,B,V,0.85,State forces (Cameroon),,,,,,
CAO12471,olmo2:7b,B,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO14676,olmo2:7b,S,V,0.85,State forces (Cameroon),,,,,,
CAO9493,olmo2:7b,S,V,0.85,State forces (Cameroon),,,,,,
CAO3243,olmo2:7b,S,V,0.85,State forces (Cameroon),,,,,,
CAO2867,olmo2:7b,S,V,0.85,State forces (Cameroon),,,,,,
CAO15743,olmo2:7b,S,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO15043,olmo2:7b,S,V,0.85,State forces (Cameroon),,,,,,
CAO11393,gemma3:4b,B,V,0.85,State forces (Cameroon),,,,,,
CAO11941,gemma3:4b,B,V,0.85,State forces (Cameroon),,,,,,
CAO11115,gemma3:4b,S,V,0.75,State forces (Cameroon),,,,,,
CAO11983,gemma3:4b,S,V,0.8,State forces (Cameroon),,,,,,
CAO4309,gemma3:4b,B,V,0.85,State forces (Cameroon),,,,,,
CAO14932,gemma3:4b,B,V,0.85,State forces (Cameroon),,,,,,
CAO13573,gemma3:4b,S,V,0.75,State forces (Cameroon),,,,,,
CAO11938,gemma3:4b,B,V,0.85,State forces (Cameroon),,,,,,
CAO13663,gemma3:4b,B,V,0.85,State forces (Cameroon),,,,,,
CAO12892,gemma3:4b,S,V,0.75,State forces (Cameroon),,,,,,
CAO13957,gemma3:4b,B,V,0.85,State forces (Cameroon),,,,,,
CAO8950,gemma3:4b,B,V,0.85,State forces (Cameroon),,,,,,
CAO7017,gemma3:4b,B,V,0.75,State forces (Cameroon),,,,,,
CAO10812,gemma3:4b,B,V,0.85,State forces (Cameroon),,,,,,
CAO12240,gemma3:4b,B,V,0.85,State forces (Cameroon),,,,,,
CAO6609,gemma3:4b,S,V,0.75,State forces (Cameroon),,,,,,
CAO9208,gemma3:4b,B,V,0.85,State forces (Cameroon),,,,,,
