model,prob_col,threshold,accepted,coverage,correct,accuracy,total_valid
mistral:7b,pred_conf,0.0,200,1.0,145,0.725,200
mistral:7b,pred_conf,0.1,200,1.0,145,0.725,200
mistral:7b,pred_conf,0.2,200,1.0,145,0.725,200
mistral:7b,pred_conf,0.3,200,1.0,145,0.725,200
mistral:7b,pred_conf,0.4,200,1.0,145,0.725,200
mistral:7b,pred_conf,0.5,200,1.0,145,0.725,200
mistral:7b,pred_conf,0.6,200,1.0,145,0.725,200
mistral:7b,pred_conf,0.7,198,0.99,145,0.732,200
mistral:7b,pred_conf,0.8,178,0.89,138,0.775,200
mistral:7b,pred_conf,0.9,155,0.775,126,0.813,200
mistral:7b,pred_conf,0.95,154,0.77,125,0.812,200
mistral:7b,pred_conf,0.99,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.0,200,1.0,145,0.725,200
mistral:7b,pred_conf_iso,0.1,200,1.0,145,0.725,200
mistral:7b,pred_conf_iso,0.2,198,0.99,145,0.732,200
mistral:7b,pred_conf_iso,0.3,178,0.89,138,0.775,200
mistral:7b,pred_conf_iso,0.4,178,0.89,138,0.775,200
mistral:7b,pred_conf_iso,0.5,155,0.775,126,0.813,200
mistral:7b,pred_conf_iso,0.6,155,0.775,126,0.813,200
mistral:7b,pred_conf_iso,0.7,155,0.775,126,0.813,200
mistral:7b,pred_conf_iso,0.8,155,0.775,126,0.813,200
mistral:7b,pred_conf_iso,0.9,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.95,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.99,0,0.0,0,,200
mistral:7b,pred_conf_temp,0.0,200,1.0,145,0.725,200
mistral:7b,pred_conf_temp,0.1,200,1.0,145,0.725,200
mistral:7b,pred_conf_temp,0.2,200,1.0,145,0.725,200
mistral:7b,pred_conf_temp,0.3,200,1.0,145,0.725,200
mistral:7b,pred_conf_temp,0.4,200,1.0,145,0.725,200
mistral:7b,pred_conf_temp,0.5,200,1.0,145,0.725,200
mistral:7b,pred_conf_temp,0.6,200,1.0,145,0.725,200
mistral:7b,pred_conf_temp,0.7,198,0.99,145,0.732,200
mistral:7b,pred_conf_temp,0.8,178,0.89,138,0.775,200
mistral:7b,pred_conf_temp,0.9,154,0.77,125,0.812,200
mistral:7b,pred_conf_temp,0.95,43,0.215,34,0.791,200
mistral:7b,pred_conf_temp,0.99,0,0.0,0,,200
