model,event_id,true_label,pred_label,pred_conf,logits,latency_sec,actor_norm,pred_conf_iso,pred_conf_temp,prob_V,prob_B,prob_E,prob_P,prob_R,prob_S
mistral:7b,CAO10261,S,R,0.75,"[0.1, 0.05, 0.02, 0.03, 0.08, 0.75]",0.58,State forces (Cameroon),0.2608695652173913,0.75,0.1491985258151872,0.14192202784753546,0.13772759803678777,0.13911178340915864,0.14624419706337016,0.28579586782767485
mistral:7b,CAO6569,B,B,0.95,"[0.02, 0.03, 0.01, 0.01, 0.01, 0.95]",0.59,State forces (Cameroon),0.8747697974217311,0.9499999999999998,0.13307235456483038,0.13440975396249058,0.13174826251352068,0.13174826251352068,0.13174826251352068,0.3372731039317798
mistral:7b,CAO15046,S,S,0.85,"[0.04, 0.03, 0.02, 0.01, 0.01, 0.85]",0.6,State forces (Cameroon),0.4594594594594595,0.85,0.13968338546473227,0.13829351255687913,0.13691746911552669,0.13555511753518404,0.13555511753518404,0.3139953977921798
mistral:7b,CAO14464,B,B,0.98,"[0.02, 0.0, 0.0, 0.0, 0.0, 0.98]",0.59,State forces (Cameroon),0.8747697974217311,0.98,0.1327582041419605,0.13012941557053706,0.13012941557053706,0.13012941557053706,0.13012941557053706,0.34672413357554455
mistral:7b,CAO10393,B,B,0.95,"[0.02, 0.01, 0.01, 0.01, 0.01, 0.95]",0.59,State forces (Cameroon),0.8747697974217311,0.9499999999999998,0.1334274706369884,0.13209984512172238,0.13209984512172238,0.13209984512172238,0.13209984512172238,0.3381731488757839
mistral:7b,CAO9341,B,B,0.95,"[0.02, 0.03, 0.01, 0.01, 0.01, 0.95]",0.58,State forces (Cameroon),0.8747697974217311,0.9499999999999998,0.13307235456483038,0.13440975396249058,0.13174826251352068,0.13174826251352068,0.13174826251352068,0.3372731039317798
mistral:7b,CAO14593,S,S,0.75,"[0.1, 0.05, 0.02, 0.02, 0.04, 0.75]",0.58,State forces (Cameroon),0.2608695652173913,0.75,0.15026821042572727,0.14293954332401673,0.1387150413862555,0.1387150413862555,0.14151727110412476,0.28784489237333216
mistral:7b,CAO11956,B,B,0.98,"[0.02, 0.0, 0.0, 0.0, 0.0, 0.98]",0.59,State forces (Cameroon),0.8747697974217311,0.98,0.1327582041419605,0.13012941557053706,0.13012941557053706,0.13012941557053706,0.13012941557053706,0.34672413357554455
mistral:7b,CAO6743,V,R,0.95,"[0.02, 0.01, 0.01, 0.03, 0.01, 0.92]",0.59,State forces (Cameroon),0.8747697974217311,0.9499999999999998,0.13441216516607782,0.13307474177654105,0.13307474177654105,0.13576302988414168,0.13307474177654105,0.33060057961982675
mistral:7b,CAO11507,B,B,0.95,"[0.02, 0.01, 0.03, 0.01, 0.0, 0.92]",0.6,State forces (Cameroon),0.8747697974217311,0.9499999999999998,0.1345903784132635,0.13325118177228912,0.1359430342042382,0.13325118177228912,0.131925310360535,0.331038913477054
mistral:7b,CAO6892,B,B,0.95,"[0.02, 0.03, 0.01, 0.01, 0.01, 0.95]",0.59,State forces (Cameroon),0.8747697974217311,0.9499999999999998,0.13307235456483038,0.13440975396249058,0.13174826251352068,0.13174826251352068,0.13174826251352068,0.3372731039317798
