event_id,model,true_label,pred_label,pred_conf_temp,actor_norm,annotation_provenance,annotation_ambiguous_actor,annotation_verb_intensity,annotation_casualty_counts,annotation_passive_voice,annotation_notes
CAO12811,mistral:7b,S,V,0.85,State forces (Cameroon),,,,,,
CAO9108,mistral:7b,S,V,0.85,State forces (Cameroon),,,,,,
CAO15728,mistral:7b,S,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO14359,mistral:7b,S,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO10635,mistral:7b,S,V,0.85,State forces (Cameroon),,,,,,
CAO11034,mistral:7b,B,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO15910,mistral:7b,S,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO9992,mistral:7b,B,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO13959,mistral:7b,B,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO14085,mistral:7b,S,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO4450,mistral:7b,B,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO5094,mistral:7b,B,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO2866,mistral:7b,S,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO12077,mistral:7b,B,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO12168,mistral:7b,S,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO6609,mistral:7b,S,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO10990,mistral:7b,B,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO5549,mistral:7b,B,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO10403,mistral:7b,B,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO11652,mistral:7b,B,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO3698,mistral:7b,B,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO11235,mistral:7b,S,V,0.85,State forces (Cameroon),,,,,,
CAO3901,mistral:7b,S,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO4188,mistral:7b,B,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO14463,mistral:7b,B,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO11393,mistral:7b,B,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO10720,mistral:7b,S,V,0.9499999999999998,State forces (Cameroon),,,,,,
CAO7337,mistral:7b,S,V,0.9499999999999998,State forces (Cameroon),,,,,,
