event_id,model,true_label,pred_label,pred_conf_temp,actor_norm,annotation_provenance,annotation_ambiguous_actor,annotation_verb_intensity,annotation_casualty_counts,annotation_passive_voice,annotation_notes
CAO9047,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO13198,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO2996,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO6350,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO2838,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO6066,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO12863,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO9041,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO2947,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO2836,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO3752,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO2941,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO9044,llama3.2:3b,V,B,0.8,State forces (Cameroon),,,,,,
CAO12627,llama3.2:3b,V,S,0.8,State forces (Cameroon),,,,,,
CAO10782,llama3.2:3b,V,S,0.8,State forces (Cameroon),,,,,,
CAO12666,llama3.2:3b,V,S,0.8,State forces (Cameroon),,,,,,
CAO6200,llama3.2:3b,V,B,0.8,State forces (Cameroon),,,,,,
CAO4974,llama3.2:3b,V,B,0.8,State forces (Cameroon),,,,,,
